plan,bloc,duree,action,echelle,angle,mouvement,lieu,lumiere,intention,son,ref_images,seed,statut
P01,I,3,,,,fixe,,,,,,,a_faire
P02,I,3,,,,fixe,,,,,,,a_faire
P03,I,3,,,,fixe,,,,,,,a_faire
P04,II,3,,,,fixe,,,,,,,a_faire
P05,II,3,,,,fixe,,,,,,,a_faire
P06,II,3,,,,fixe,,,,,,,a_faire
P07,II,3,,,,fixe,,,,,,,a_faire
P08,II,3,,,,fixe,,,,,,,a_faire
P09,III,3,,,,fixe,,,,,,,a_faire
P10,III,3,,,,fixe,,,,,,,a_faire
P11,III,3,,,,fixe,,,,,,,a_faire
P12,III,3,,,,fixe,,,,,,,a_faire
P13,IV,3,,,,fixe,,,,,,,a_faire
P14,IV,3,,,,fixe,,,,,,,a_faire
P15,IV,3,,,,fixe,,,,,,,a_faire
P16,IV,3,,,,fixe,,,,,,,a_faire
P17,IV,3,,,,fixe,,,,,,,a_faire
P18,V,3,,,,fixe,,,,,,,a_faire
P19,V,3,,,,fixe,,,,,,,a_faire
P20,V,3,,,,fixe,,,,,,,a_faire
