shot,block,duration,action,size,angle,movement,place,light,intent,sound,ref_images,seed,status
P01,I,3,,,,static,,,,,,,todo
P02,I,3,,,,static,,,,,,,todo
P03,I,3,,,,static,,,,,,,todo
P04,II,3,,,,static,,,,,,,todo
P05,II,3,,,,static,,,,,,,todo
P06,II,3,,,,static,,,,,,,todo
P07,II,3,,,,static,,,,,,,todo
P08,II,3,,,,static,,,,,,,todo
P09,III,3,,,,static,,,,,,,todo
P10,III,3,,,,static,,,,,,,todo
P11,III,3,,,,static,,,,,,,todo
P12,III,3,,,,static,,,,,,,todo
P13,IV,3,,,,static,,,,,,,todo
P14,IV,3,,,,static,,,,,,,todo
P15,IV,3,,,,static,,,,,,,todo
P16,IV,3,,,,static,,,,,,,todo
P17,IV,3,,,,static,,,,,,,todo
P18,V,3,,,,static,,,,,,,todo
P19,V,3,,,,static,,,,,,,todo
P20,V,3,,,,static,,,,,,,todo
